season,avg_positions,multi_pos_share
1997,1.583623693379791,0.554006968641115
1998,1.5959780621572213,0.5557586837294333
1999,1.5759368836291914,0.5443786982248521
2000,1.590725806451613,0.5524193548387096
2001,1.6163873370577282,0.5716945996275605
2002,1.638,0.61
2003,1.5383022774327122,0.5175983436853002
2004,1.5606837606837607,0.5401709401709401
2005,1.5777777777777777,0.5623931623931624
2006,1.6203208556149733,0.5953654188948306
2007,1.691860465116279,0.6337209302325582
2008,1.6296296296296295,0.5925925925925926
2009,1.620274914089347,0.5910652920962199
2010,1.5701906412478337,0.5459272097053726
2011,1.56,0.544
2012,1.4954627949183303,0.4827586206896552
2013,1.5769230769230769,0.5629370629370629
2014,1.585924713584288,0.5662847790507365
2015,1.6175115207373272,0.5867895545314901
2016,1.5986159169550174,0.5726643598615917
2017,1.591596638655462,0.5714285714285714
2018,1.6340361445783131,0.5873493975903614
2019,1.7005649717514124,0.632768361581921
2020,1.6866359447004609,0.6175115207373272
2021,1.7645390070921987,0.6567375886524822
2022,1.7610837438423645,0.6490147783251231
2023,1.7864506627393226,0.658321060382916
2024,1.8244897959183672,0.689795918367347
2025,1.8108843537414967,0.6802721088435374
